code,id,name
A710,300,ESTADO INICIAL DE TRACOMA
A711,301,ESTADO ACTIVO DE TRACOMA
A719,302,"TRACOMA, NO ESPECIFICADO"
A740,303,CONJUNTIVITIS POR CLAMIDIAS (H13.1*)
A748,304,OTRAS ENFERMEDADES POR CLAMIDIAS
A749,305,"INFECCION POR CLAMIDIAS, NO ESPECIFICADA"
A750,306,TIFUS EPIDEMICO DEBIDO A RICKETTSIA PROWAZEKII TRANSMITIDO POR PIOJOS
A751,307,TIFUS RECRUDESCENTE [ENFERMEDAD DE BRILL]
A752,308,TIFUS DEBIDO A RICKETTSIA TYPHI
A753,309,TIFUS DEBIDO A RICKETTSIA TSUTSUGAMUSHI
A759,310,"TIFUS, NO ESPECIFICADO"
A770,311,FIEBRE MACULOSA DEBIDO A RICKETTSIA RICKETTSII
A771,312,FIEBRE MACULOSA DEBIDO A RICKETTSIA CONORII
A772,313,FIEBRE MACULOSA DEBIDO A RICKETTSIA SIBERICA
A773,314,FIEBRE MACULOSA DEBIDO A RICKETTSIA AUSTRALIS
A778,315,OTRAS FIEBRES MACULOSAS
A779,316,"FIEBRE MACULOSA, NO ESPECIFICADA"
A78,317,FIEBRE Q
A790,318,FIEBRE DE LAS TRINCHERAS
A791,319,RICKETTSIOSIS PUSTULOSA DEBIDA A RICKETTSIA AKARI
A798,320,OTRAS RICKETTSIOSIS ESPECIFICADAS
A799,321,"RICKETTSIOSIS, NO ESPECIFICADA"
A800,322,"POLIOMIELITIS AGUDA PARALITICA, ASOCIADA A VACUNA"
A801,323,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE IMPORTADO
A802,324,POLIOMIELITIS AGUDA PARALITICA DEBIDA A VIRUS SALVAJE AUTOCTONO
A803,325,"OTRAS POLIOMIELITIS AGUDAS PARALITICAS, Y NO LAS ESPECIFICADAS"
A804,326,POLIOMIELITIS AGUDA NO PARALITICA
A809,327,"POLIOMIELITIS AGUDA, SIN OTRA ESPECIFICACIÓN"
A810,328,ENFERMEDAD DE CREUTZFELDT-JAKOB
A811,329,PANENCEFALITIS ESCLEROSANTE SUBAGUDA
A812,330,LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA
A818,331,OTRAS INFECCIONES DEL SISTEMA NERVIOSO POR VIRUS ATIPICO
A819,332,"INFECCIONES DEL SISTEMA NERVIOSO CENTRAL POR VIRUS ATIPICO, SIN OTRA ESPECIFICACION"
A820,333,RABIA SELVATICA
A821,334,RABIA URBANA
A829,335,"RABIA, SIN OTRA ESPECIFICACION"
A830,336,ENCEFALITIS JAPONESA
A831,337,ENCEFALITIS EQUINA DEL OESTE
